center_name	PRIMARY_ID	EXTERNAL_ID	SUBMITTER_ID	TITLE	TAXON_ID	SCIENTIFIC_NAME	COMMON_NAME	DESCRIPTION	ENA-STUDY	ENA-EXPERIMENT	ENA-RUN	ENA-SUBMISSION	ENA-FASTQ-FILES	ENA-SUBMITTED-FILES	collection date	environment (biome)	environment (feature)	environment (material)	geographic location (country and/or sea)	geographic location (latitude)	geographic location (longitude)	host body site	host disease status	human-associated environmental package	investigation type	project name	sequencing method	ENA-CHECKLIST	ENA-SPOT-COUNT	ENA-BASE-COUNT	ENA-FIRST-PUBLIC	ENA-LAST-UPDATE
Universidade Federal do ABC	ERS1421327	SAMEA4522148	LP20-S1-ITS_S25_L001_R1_001.fastq.gz	Human skin samples	646099	human metagenome	human metagenome	LP20-S1-ITS_S25_L001_R1_001	ERP018577	ERX1771518	ERR1701230	ERA740395	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=ERS1421327&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=ERS1421327&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	2014	Skin	Skin	Swab	Brazil	10°S 55°W	10°S 55°W	Scalp	Dandruff	human-associated	metagenome	Dandruff	Illumina Miseq Sequencing	ERC000014	218007	31134227	2016-12-23	2016-10-23
Universidade Federal do ABC	ERS1421328	SAMEA4522149	LP20-T1-ITS_S26_L001_R1_001.fastq.gz	Human skin samples	646099	human metagenome	human metagenome	LP20-T1-ITS_S26_L001_R1_001	ERP018577	ERX1771519	ERR1701231	ERA740395	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=ERS1421328&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=ERS1421328&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	2014	Skin	Skin	Swab	Brazil	10°S 55°W	10°S 55°W	Forehead	Dandruff	human-associated	metagenome	Dandruff	Illumina Miseq Sequencing	ERC000014	89042	12637482	2016-12-23	2016-10-23
Universidade Federal do ABC	ERS1421329	SAMEA4522150	LH01-S1-ITS_S27_L001_R1_001.fastq.gz	Human skin samples	646099	human metagenome	human metagenome	LH01-S1-ITS_S27_L001_R1_001	ERP018577	ERX1771520	ERR1701232	ERA740395	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=ERS1421329&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=ERS1421329&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	2014	Skin	Skin	Swab	Brazil	10°S 55°W	10°S 55°W	Scalp	Health	human-associated	metagenome	Dandruff	Illumina Miseq Sequencing	ERC000014	136552	24476580	2016-12-23	2016-10-23
Universidade Federal do ABC	ERS1421330	SAMEA4522151	LH01-T1-ITS_S28_L001_R1_001.fastq.gz	Human skin samples	646099	human metagenome	human metagenome	LH01-T1-ITS_S28_L001_R1_001	ERP018577	ERX1771521	ERR1701233	ERA740395	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=ERS1421330&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=ERS1421330&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	2014	Skin	Skin	Swab	Brazil	10°S 55°W	10°S 55°W	Forehead	Health	human-associated	metagenome	Dandruff	Illumina Miseq Sequencing	ERC000014	143802	19452250	2016-12-23	2016-10-23
Universidade Federal do ABC	ERS1421331	SAMEA4522152	LH02-S1-ITS_S29_L001_R1_001.fastq.gz	Human skin samples	646099	human metagenome	human metagenome	LH02-S1-ITS_S29_L001_R1_001	ERP018577	ERX1771522	ERR1701234	ERA740395	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=ERS1421331&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=ERS1421331&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	2014	Skin	Skin	Swab	Brazil	10°S 55°W	10°S 55°W	Scalp	Health	human-associated	metagenome	Dandruff	Illumina Miseq Sequencing	ERC000014	185200	29665052	2016-12-23	2016-10-23
Universidade Federal do ABC	ERS1421332	SAMEA4522153	LH02-T1-ITS_S30_L001_R1_001.fastq.gz	Human skin samples	646099	human metagenome	human metagenome	LH02-T1-ITS_S30_L001_R1_001	ERP018577	ERX1771523	ERR1701235	ERA740395	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=ERS1421332&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=ERS1421332&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	2014	Skin	Skin	Swab	Brazil	10°S 55°W	10°S 55°W	Forehead	Health	human-associated	metagenome	Dandruff	Illumina Miseq Sequencing	ERC000014	169937	27897831	2016-12-23	2016-10-23
Universidade Federal do ABC	ERS1421333	SAMEA4522154	LH03-S1-ITS_S31_L001_R1_001.fastq.gz	Human skin samples	646099	human metagenome	human metagenome	LH03-S1-ITS_S31_L001_R1_001	ERP018577	ERX1771524	ERR1701236	ERA740395	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=ERS1421333&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=ERS1421333&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	2014	Skin	Skin	Swab	Brazil	10°S 55°W	10°S 55°W	Scalp	Health	human-associated	metagenome	Dandruff	Illumina Miseq Sequencing	ERC000014	272443	49024720	2016-12-23	2016-10-23
Universidade Federal do ABC	ERS1421334	SAMEA4522155	LH03-T1-ITS_S32_L001_R1_001.fastq.gz	Human skin samples	646099	human metagenome	human metagenome	LH03-T1-ITS_S32_L001_R1_001	ERP018577	ERX1771525	ERR1701237	ERA740395	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=ERS1421334&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=ERS1421334&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	2014	Skin	Skin	Swab	Brazil	10°S 55°W	10°S 55°W	Forehead	Health	human-associated	metagenome	Dandruff	Illumina Miseq Sequencing	ERC000014	166073	27598566	2016-12-23	2016-10-23
Universidade Federal do ABC	ERS1421335	SAMEA4522156	LH12-S1-ITS_S33_L001_R1_001.fastq.gz	Human skin samples	646099	human metagenome	human metagenome	LH12-S1-ITS_S33_L001_R1_001	ERP018577	ERX1771526	ERR1701238	ERA740395	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=ERS1421335&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=ERS1421335&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	2014	Skin	Skin	Swab	Brazil	10°S 55°W	10°S 55°W	Scalp	Health	human-associated	metagenome	Dandruff	Illumina Miseq Sequencing	ERC000014	265366	32469459	2016-12-23	2016-10-23
Universidade Federal do ABC	ERS1421336	SAMEA4522157	LH12-T1-ITS_S34_L001_R1_001.fastq.gz	Human skin samples	646099	human metagenome	human metagenome	LH12-T1-ITS_S34_L001_R1_001	ERP018577	ERX1771527	ERR1701239	ERA740395	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=ERS1421336&result=read_run&fields=run_accession,fastq_ftp,fastq_md5,fastq_bytes	https://www.ebi.ac.uk/ena/portal/api/filereport?accession=ERS1421336&result=read_run&fields=run_accession,submitted_ftp,submitted_md5,submitted_bytes,submitted_format	2014	Skin	Skin	Swab	Brazil	10°S 55°W	10°S 55°W	Forehead	Health	human-associated	metagenome	Dandruff	Illumina Miseq Sequencing	ERC000014	228281	30886028	2016-12-23	2016-10-23
